Type,Breed1,Breed2,Color1,Color2,Color3,Fee,Quantity,VideoAmt,AgeBins,PhotoAmt,Age,BreedPure,Gender,MaturitySize,FurLength,Health,ColorAmt,Vaccinated,Dewormed,BreedName,Sterilized,StateBins,ColorName,Description,AdoptionSpeed
1,307,0,2,0,0,0,1,0,2,1,2,N,1,2,1,1,1,2,1,Mixed Breed,2,41326,Brown,Chocolate n tan puppy for adoption. Please note that adopter hv to pay for their vaccinations and neutering,3
1,307,0,2,7,0,0,1,0,"[  3,  6)",2,4,N,2,2,2,1,2,1,1,Mixed Breed,2,41326,Brown,Friday has a very good temperament. She is friendly and sweet. If you wish to adopt call us at,3
2,265,0,5,6,0,0,3,0,2,4,2,Y,3,2,2,1,2,2,2,Domestic Medium Hair,2,41330,Cream,"For any inquiry or adoption, pls contact: (Call / SMS / E-mail / WeChat) Elfi E-mail: Location: Pengkalan Hulu,Perak note: I'm not sure of their sexuality.",4
2,295,0,5,7,0,0,4,0,"[  3,  6)",7,4,Y,3,2,1,1,2,2,2,Singapura,2,41401,Cream,"Hi All, I got sms from cat lovers from all over Malaysia. Thanks for requsting to adopt but all 4 already sent to one lovely lady. Hope the kittens can fit in :) My female cat gave birth to 4 adorable kitten. 2 female and 2 male. Each one have light blue eyes and very active. They are lovable to play and active. Pumpkin is a female kitten with a bun tail Kuning is a female with yellow long tail. Blue is a male with slight cream color with brown tail. And the last one, Blink, the biggest male kitten and the most handsome :) I could not afford to spare my time to these active kittens as I already have 5 more at home. These kittens are so cute to cuddle :) * I have to take the pic outside the cage, otherwise, I could not have a single pic to attached .. Anyone interested to have these cute cat, SMS me at",2
1,307,0,1,2,5,0,3,0,2,4,2,N,3,2,2,1,3,1,1,Mixed Breed,2,41326,Black,these cute puppies were found in a small hole under a tree trunk. 2 females (left) and 1 male (black furry). Lester Jenny will you adopt them? ================================================== Adopters are required to vaccinate and neuter them. ==================================================,1
2,266,0,2,0,0,0,1,0,"[ 12, 24)",1,12,Y,2,2,1,1,1,2,2,Domestic Short Hair,2,Others,Brown,She needs a loving and caring home..,4
2,292,0,1,7,0,0,1,0,"[  3,  6)",9,3,Y,2,2,2,1,2,2,2,Siamese,2,41326,Black,"This kitten is a stray cat. Healthy, playful but a little bit timid. Not sure boy or girl. WhatsApp or call if you are interested. Pick up location : Kota Damansara",1
1,307,0,2,7,0,0,1,0,2,1,2,N,2,2,1,1,2,3,3,Mixed Breed,2,41326,Brown,Cute little girl looking for a forever home. Commitment to spay is compulsory.. if u are interested to adopt pls contact Rachel,3
1,307,0,1,2,7,0,2,0,"[  0,  2)",2,1,N,3,2,2,1,3,2,2,Mixed Breed,3,41326,Black,"2 baby around 3/4 week only,drink milk now.two is same colour.",3
1,307,0,1,2,7,0,1,0,"[  6, 12)",0,8,N,1,2,2,1,3,1,3,Mixed Breed,2,41326,Black,Dusty is an active and energetic puppy. He learns tricks very quickly and he would be happily greet you when you come home.,3
